language,segment_type,n
Kannada,vowel,10
Kara-Kalpak,consonant,25
Kara-Kalpak,vowel,14
Karaim,consonant,29
Karaim,vowel,8
Karata,consonant,46
Karata,vowel,10
Karelian,consonant,16
Karelian,vowel,14
Kathmandu Valley Newari,consonant,24
Kathmandu Valley Newari,vowel,12
Kati,consonant,53
Kati,vowel,8
Kazym-Berezover-Suryskarer Khanty,consonant,58
Kazym-Berezover-Suryskarer Khanty,vowel,29
Ket,consonant,14
Ket,vowel,15
Khakas,consonant,23
Khakas,vowel,16
Khaling,consonant,27
Khaling,vowel,21
Khams Tibetan,consonant,40
Khams Tibetan,vowel,23
Kharia,consonant,34
Kharia,vowel,5
Khowar,consonant,39
Khowar,vowel,5
Khufi,consonant,29
Khufi,vowel,11
Kildin Saami,consonant,113
Kildin Saami,vowel,15
Kirghiz,consonant,21
Kirghiz,vowel,16
Koi,consonant,26
Koi,vowel,9
Komi-Permyak,consonant,30
Komi-Permyak,vowel,7
Komi-Zyrian,consonant,30
Komi-Zyrian,vowel,7
Korean,consonant,21
Korean,vowel,17
Korku,consonant,31
Korku,vowel,10
Koroshi,consonant,24
Koroshi,vowel,10
Ksingmul,consonant,20
Ksingmul,vowel,18
Kumyk,consonant,23
Kumyk,vowel,8
Kumzari,consonant,27
Kumzari,vowel,8
Kunigami,consonant,20
Kunigami,vowel,5
Kurtokha,consonant,31
Kurtokha,vowel,16
Kuvi,consonant,22
Kuvi,vowel,15
Kyerung,consonant,40
Kyerung,vowel,29
Ladino,consonant,20
Ladino,vowel,5
Lahu,consonant,24
Lahu,vowel,29
Lak,consonant,58
Lak,vowel,10
Lamjung-Melamchi Yolmo,consonant,36
Lamjung-Melamchi Yolmo,vowel,12
Lao,consonant,63
Lao,vowel,61
Laz,consonant,157
Laz,vowel,27
Leh Ladakhi,consonant,33
Leh Ladakhi,vowel,5
Lezgian,consonant,126
Lezgian,vowel,17
Lhomi,consonant,23
Lhomi,vowel,22
Ligurian,consonant,24
Ligurian,vowel,21
Lishanid Noshan,consonant,30
Lishanid Noshan,vowel,6
Lisu,consonant,31
Lisu,vowel,17
Lithuanian,consonant,161
Lithuanian,vowel,57
Liv,consonant,23
Liv,vowel,8
Lizu,consonant,50
Lizu,vowel,10
Longchuan Achang,consonant,35
Longchuan Achang,vowel,27
Lowa,consonant,35
Lowa,vowel,10
Lower Sorbian,consonant,35
Lower Sorbian,vowel,7
Lü,consonant,21
Lü,vowel,24
Macedonian,consonant,26
Macedonian,vowel,6
Magahi,consonant,34
Magahi,vowel,16
Maithili,consonant,26
Maithili,vowel,25
Malayalam,consonant,38
Malayalam,vowel,15
Maltese,consonant,24
Maltese,vowel,11
Manange,consonant,30
Manange,vowel,15
Mandarin Chinese,consonant,49
Mandarin Chinese,vowel,50
Mara Chin,consonant,28
Mara Chin,vowel,16
Mehri,consonant,31
Mehri,vowel,14
Min Dong Chinese,consonant,30
Min Dong Chinese,vowel,55
Mingrelian,consonant,92
Mingrelian,vowel,16
Mirandese,consonant,22
Mirandese,vowel,27
Miyako,consonant,14
Miyako,vowel,5
Modern Greek,consonant,24
Modern Greek,vowel,5
Modern Hebrew,consonant,20
Modern Hebrew,vowel,5
Moksha,consonant,68
Moksha,vowel,13
Moselle Franconian,consonant,26
Moselle Franconian,vowel,22
Mundari,consonant,23
Mundari,vowel,5
Munji,consonant,35
Munji,vowel,9
Myeik,consonant,27
Myeik,vowel,24
Najdi Arabic,consonant,25
Najdi Arabic,vowel,8
Nar Phu,consonant,25
Nar Phu,vowel,28
Narua,consonant,37
Narua,vowel,14
Naukan Yupik,consonant,18
Naukan Yupik,vowel,4
Nepali,consonant,29
Nepali,vowel,15
Nganasan,consonant,20
Nganasan,vowel,10
North Azerbaijani,consonant,24
North Azerbaijani,vowel,18
Northeastern Thai,consonant,101
Northeastern Thai,vowel,89
Northern Altai,consonant,18
Northern Altai,vowel,16
Northern Kurdish,consonant,30
Northern Kurdish,vowel,8
